gutenberg_id,text,title
41360,THE ELEMENTARY FORMS OF THE RELIGIOUS LIFE,Elementary Forms
41360,,Elementary Forms
41360,,Elementary Forms
41360,,Elementary Forms
41360,,Elementary Forms
41360,  EMILE DURKHEIM,Elementary Forms
41360,,Elementary Forms
41360,  _The Elementary Forms,Elementary Forms
41360,  of the,Elementary Forms
41360,  Religious Life_,Elementary Forms
41360,,Elementary Forms
41360,,Elementary Forms
41360,  TRANSLATED FROM THE FRENCH BY,Elementary Forms
41360,  JOSEPH WARD SWAIN,Elementary Forms
41360,  M.A.,Elementary Forms
41360,,Elementary Forms
41360,,Elementary Forms
41360,  _LONDON_,Elementary Forms
41360,  GEORGE ALLEN & UNWIN LTD,Elementary Forms
41360,  RUSKIN HOUSE MUSEUM STREET,Elementary Forms
41360,,Elementary Forms
41360,,Elementary Forms
41360,,Elementary Forms
41360,,Elementary Forms
41360,  FIRST PUBLISHED IN 1915,Elementary Forms
41360,  SECOND IMPRESSION 1926,Elementary Forms
41360,  THIRD IMPRESSION 1954,Elementary Forms
41360,  FOURTH IMPRESSION 1957,Elementary Forms
41360,  FIFTH IMPRESSION 1964,Elementary Forms
41360,,Elementary Forms
41360,    _This book is copyright under the Berne Convention.,Elementary Forms
41360,    Apart from any fair dealing for the purposes of private,Elementary Forms
41360,"    study, research, criticism or review, as permitted under",Elementary Forms
41360,"    the Copyright Act, 1956, no portion may be reproduced",Elementary Forms
41360,    by any process without written permission. Enquiry,Elementary Forms
41360,    should be made to the publisher._,Elementary Forms
41360,,Elementary Forms
41360,  _(C) George Allen & Unwin Ltd. 1915_,Elementary Forms
41360,,Elementary Forms
41360,  PRINTED IN GREAT BRITAIN,Elementary Forms
41360,  BY HOLLEN STREET PRESS LTD,Elementary Forms
41360,  LONDON W.1,Elementary Forms
41360,,Elementary Forms
41360,,Elementary Forms
41360,,Elementary Forms
41360,,Elementary Forms
41360,CONTENTS,Elementary Forms
41360,,Elementary Forms
41360,,Elementary Forms
41360,INTRODUCTION,Elementary Forms
41360,,Elementary Forms
41360,  SUBJECT OF OUR STUDY: RELIGIOUS SOCIOLOGY AND THE THEORY OF,Elementary Forms
41360,  KNOWLEDGE,Elementary Forms
41360,                                                                    PAGE,Elementary Forms
41360,  I.--Principal subject of the book: analysis of the simplest,Elementary Forms
41360,    religion known to determine the elementary forms of the,Elementary Forms
41360,    religious life--Why they are more easily found and explained,Elementary Forms
41360,    in the primitive religions                                         1,Elementary Forms
41360,,Elementary Forms
41360,  II.--Secondary subject of research: the genesis of the,Elementary Forms
41360,    fundamental notions of thought or the categories--Reasons for,Elementary Forms
41360,    believing that their origin is religious and consequently,Elementary Forms
41360,    social--How a way of restating the theory of knowledge is,Elementary Forms
41360,    thus seen                                                          9,Elementary Forms
41360,,Elementary Forms
41360,,Elementary Forms
41360,BOOK I,Elementary Forms
41360,,Elementary Forms
41360,PRELIMINARY QUESTIONS,Elementary Forms
41360,,Elementary Forms
41360,,Elementary Forms
41360,  CHAPTER I,Elementary Forms
41360,,Elementary Forms
41360,  DEFINITION OF RELIGIOUS PHENOMENA AND OF RELIGION,Elementary Forms
41360,,Elementary Forms
41360,  Usefulness of a preliminary definition of religion; method to be,Elementary Forms
41360,    followed in seeking this definition--Why the usual definitions,Elementary Forms
41360,    should be examined first                                          23,Elementary Forms
41360,,Elementary Forms
41360,  I.--Religion defined by the supernatural and mysterious--,Elementary Forms
41360,    Criticism: the notion of mystery is not primitive                 24,Elementary Forms
41360,,Elementary Forms
41360,  II.--Religion defined in connection with the idea of God or a,Elementary Forms
41360,    spiritual being.--Religions without gods--Rites in deistic,Elementary Forms
41360,    religions which imply no idea of divinity                         29,Elementary Forms
41360,,Elementary Forms
41360,  III.--Search for a positive definition--Distinction between,Elementary Forms
41360,    beliefs and rites--Definition of beliefs--First characteristic:,Elementary Forms
41360,    division of things between sacred and profane--Distinctive,Elementary Forms
41360,    characteristics of this definition--Definition of rites in,Elementary Forms
41360,    relation to beliefs--Definition of religion                       36,Elementary Forms
41360,,Elementary Forms
41360,  IV.--Necessity of another characteristic to distinguish magic,Elementary Forms
41360,    from religion--The idea of the Church--Do individualistic,Elementary Forms
41360,    religions exclude the idea of a Church?                           42,Elementary Forms
41360,,Elementary Forms
41360,,Elementary Forms
41360,  CHAPTER II,Elementary Forms
41360,,Elementary Forms
41360,  LEADING CONCEPTIONS OF THE ELEMENTARY RELIGION,Elementary Forms
41360,,Elementary Forms
41360,  I.--_Animism_,Elementary Forms
41360,,Elementary Forms
41360,  Distinction of animism and naturism 48,Elementary Forms
41360,,Elementary Forms
41360,  I.--The three theses of animism: Genesis of the idea of the soul;,Elementary Forms
41360,    Formation of the idea of spirits; Transformation of the cult of,Elementary Forms
41360,    spirits into the cult of nature                                   49,Elementary Forms
41360,,Elementary Forms
41360,  II.--Criticism of the first thesis--Distinction of the idea of,Elementary Forms
41360,    the soul from that of a double--Dreams do not account for the,Elementary Forms
41360,    idea of the soul                                                  55,Elementary Forms
41360,,Elementary Forms
41360,  III.--Criticism of the second thesis--Death does not explain the,Elementary Forms
41360,    transformation of a soul into a spirit--The cult of the souls,Elementary Forms
41360,    of the dead is not primitive                                      60,Elementary Forms
41360,,Elementary Forms
41360,  IV.--Criticism of the third thesis--The anthropomorphic,Elementary Forms
41360,    instinct--Spencer's criticism of it; reservations on this,Elementary Forms
41360,    point--Examination of the facts by which this instinct is,Elementary Forms
41360,    said to be proved--Difference between a soul and the spirits,Elementary Forms
41360,    of nature--Religious anthropomorphism is not primitive            65,Elementary Forms
41360,,Elementary Forms
41360,  V.--Conclusion: animism reduces religion to nothing more than,Elementary Forms
41360,    a system of hallucinations                                        68,Elementary Forms
41360,,Elementary Forms
41360,,Elementary Forms
41360,  CHAPTER III,Elementary Forms
41360,,Elementary Forms
41360,  LEADING CONCEPTIONS OF THE ELEMENTARY RELIGION--(_continued_),Elementary Forms
41360,,Elementary Forms
41360,  II.--_Naturism_,Elementary Forms
41360,,Elementary Forms
41360,  History of the theory                                               71,Elementary Forms
41360,,Elementary Forms
41360,  I.--Exposition of Max Mueller's naturism                             73,Elementary Forms
41360,,Elementary Forms
41360,"  II.--If the object of religion is to express natural forces, it",Elementary Forms
41360,"    is hard to see how it has maintained itself, for it expresses",Elementary Forms
41360,    them in an erroneous manner--Pretended distinction between,Elementary Forms
41360,    religion and mythology                                            78,Elementary Forms
41360,,Elementary Forms
41360,  III.--Naturism does not explain the division of things into,Elementary Forms
41360,    sacred and profane                                                84,Elementary Forms
41360,,Elementary Forms
41360,,Elementary Forms
41360,  CHAPTER IV,Elementary Forms
41360,,Elementary Forms
41360,  TOTEMISM AS AN ELEMENTARY RELIGION,Elementary Forms
41360,,Elementary Forms
41360,  I.--Brief history of the question of totemism                       88,Elementary Forms
41360,,Elementary Forms
41360,  II.--Reasons of method for which our study will be given,Elementary Forms
41360,    specially to the totemism of Australia--The place which,Elementary Forms
41360,    will be given to facts from America                               93,Elementary Forms
41360,,Elementary Forms
41360,,Elementary Forms
41360,BOOK II,Elementary Forms
41360,,Elementary Forms
41360,THE ELEMENTARY BELIEFS,Elementary Forms
41360,,Elementary Forms
41360,,Elementary Forms
41360,  CHAPTER I,Elementary Forms
41360,,Elementary Forms
41360,  TOTEMIC BELIEFS,Elementary Forms
41360,,Elementary Forms
41360,  _The Totem as Name and as Emblem_,Elementary Forms
41360,,Elementary Forms
41360,  I.--Definition of the clan--The totem as name of the clan--Nature,Elementary Forms
41360,    of the things which serve as totems--Ways in which the totem is,Elementary Forms
41360,    acquired--The totems of phratries; of matrimonial classes        102,Elementary Forms
41360,,Elementary Forms
41360,  II.--The totem as emblem--Totemic designs engraved or carved upon,Elementary Forms
41360,    objects; tatooings or designs upon the body                      113,Elementary Forms
41360,,Elementary Forms
41360,  III.--Sacred character of the totemic emblem--The churinga--The,Elementary Forms
41360,    nurtunja--The waninga--Conventional character of totemic emblems 119,Elementary Forms
41360,,Elementary Forms
41360,,Elementary Forms
41360,  CHAPTER II,Elementary Forms
41360,,Elementary Forms
41360,  TOTEMIC BELIEFS--(_continued_),Elementary Forms
41360,,Elementary Forms
41360,  _The Totemic Animal and Man_,Elementary Forms
41360,,Elementary Forms
41360,  I.--Sacred character of the totemic animals--Prohibition to,Elementary Forms
41360,"    eat them, kill them or pick the totemic plants--Different",Elementary Forms
